motorcycle racing league	 http://dbpedia.org/ontology/MotorcycleRacingLeague	 motorcycle racing league
auto racing league	 http://dbpedia.org/ontology/AutoRacingLeague	 auto racing league
car racing league	 http://dbpedia.org/ontology/AutoRacingLeague	 auto racing league
racing league	 http://dbpedia.org/ontology/AutoRacingLeague	 auto racing league
software	 http://dbpedia.org/ontology/Software	 software
video game	 http://dbpedia.org/ontology/VideoGame	 video game
device	 http://dbpedia.org/ontology/Device	 device
power station	 http://dbpedia.org/ontology/PowerStation	 power station
mean of transportation	 http://dbpedia.org/ontology/MeanOfTransportation	 mean of transportation
ship	 http://dbpedia.org/ontology/Ship	 ship
aircraft	 http://dbpedia.org/ontology/Aircraft	 aircraft
airline	 http://dbpedia.org/ontology/Airline	 airline
automobile	 http://dbpedia.org/ontology/Automobile	 automobile
locomotive	 http://dbpedia.org/ontology/Locomotive	 locomotive
